Open,High,Low,Close,Adj Close,Volume
970.8,978.7,964.8,968.85,968.85,1524600
974.0,977.54,970.15,976.91,976.91,1079600
976.32,983.35,970.8,975.96,975.96,1660500
973.36,990.85,972.04,986.95,986.95,1413300
990.01,995.6,987.01,992.77,992.77,1412100
997.0,998.68,984.62,992.19,992.19,1418400
989.0,995.11,984.17,993.84,993.84,1463300
994.1,1006.19,990.27,998.31,998.31,3984500
970.7,976.73,963.8,969.03,969.03,5933600
972.78,973.95,960.23,965.31,965.31,2221600
969.18,969.52,937.06,952.51,952.51,3717900
947.99,961.79,945.31,958.33,958.33,1813800
960.0,961.19,941.73,945.5,945.5,2283500
947.81,954.49,944.96,946.56,946.56,1402600
948.37,949.1,932.52,947.64,947.64,2039400
949.1,950.0,939.44,940.3,940.3,1123900
943.95,947.54,939.8,945.79,945.79,1254600
947.52,948.96,943.5,945.75,945.75,1445800
944.29,952.49,942.48,944.19,944.19,1505100
938.45,943.76,933.92,940.08,940.08,1400900
935.0,936.3,921.78,923.59,923.59,2707400
923.71,933.36,921.22,930.09,930.09,1616700
939.07,941.04,934.49,938.93,938.93,1150600
941.03,943.07,936.64,938.08,938.08,1106500
941.25,949.9,940.04,944.27,944.27,1345300
942.95,943.81,927.64,927.66,927.66,1695700
926.98,931.02,923.45,926.18,926.18,1337400
925.77,928.25,918.6,920.87,920.87,1301200
926.96,941.96,926.17,940.4,940.4,1775100
937.0,945.43,935.24,942.58,942.58,1134500
943.71,946.31,930.74,936.89,936.89,1294600
939.21,940.73,930.1,930.5,930.5,1187300
931.88,934.85,926.11,928.13,928.13,1049400
919.95,938.19,919.31,935.75,935.75,1158600
935.67,945.86,934.05,943.63,943.63,1120300
946.3,957.2,946.25,955.24,955.24,1693300
957.47,958.33,950.28,951.99,951.99,1042900
946.86,951.39,935.6,941.48,941.48,1457400
943.87,944.5,932.68,942.02,942.02,1391500
944.25,950.5,937.53,949.89,949.89,1116600
949.7,950.7,940.01,941.41,941.41,999900
947.2,952.68,941.0,943.29,943.29,1337400
946.92,948.09,937.5,946.65,946.65,1284800
945.5,952.85,944.74,950.44,950.44,1095400
946.0,948.03,938.36,940.13,940.13,1427400
940.09,941.75,931.25,935.29,935.29,1994300
935.01,936.86,925.4,929.75,929.75,1473700
933.41,937.94,926.66,936.86,936.86,1242700
937.73,950.0,937.5,947.54,947.54,2004000
948.13,952.8,939.38,947.55,947.55,1370700
942.77,950.0,940.84,943.26,943.26,1074800
939.45,939.75,924.51,934.28,934.28,1873400
936.69,944.08,935.12,937.43,937.43,1672700
942.74,965.43,941.95,959.9,959.9,2334600
956.25,966.18,955.55,964.81,964.81,1400900
966.0,975.81,966.0,973.72,973.72,2031100
975.65,977.74,961.95,967.47,967.47,1539100
967.56,972.44,962.71,972.08,972.08,1083300
971.76,974.4,965.61,966.78,966.78,1057800
972.79,986.51,970.27,985.19,985.19,1780900
980.0,994.26,978.51,993.64,993.64,1553000
995.0,1000.46,991.5,992.31,992.31,1295500
995.3,997.47,981.11,987.8,987.8,1163400
989.04,1007.57,987.94,1005.65,1005.65,1815000
1003.84,1011.54,1001.1,1005.65,1005.65,1530700
1009.11,1014.76,1007.06,1007.87,1007.87,1327600
1009.63,1012.0,1001.52,1009.35,1009.35,1071000
1007.44,1014.56,1006.05,1011.0,1011.0,1013000
1011.05,1016.31,1005.32,1012.74,1012.74,1279800
1004.75,1007.32,997.3,1001.84,1001.84,1714200
1007.05,1008.65,1002.27,1005.07,1005.07,1606000
1005.18,1005.79,983.1,985.54,985.54,1639300
986.5,989.26,977.08,988.49,988.49,1445100
986.27,994.43,977.72,991.46,991.46,1528700
998.47,1006.51,990.47,991.42,991.42,2369800
1030.99,1063.62,1026.85,1033.67,1033.67,5184100
1029.16,1039.83,1022.33,1033.13,1033.13,2340200
1033.0,1041.0,1026.3,1033.04,1033.04,1516300
1036.32,1047.86,1034.0,1042.6,1042.6,2163100
1039.99,1045.52,1028.66,1042.97,1042.97,1334700
1042.75,1050.66,1037.65,1049.99,1049.99,1388500
1049.1,1052.59,1042.0,1042.68,1042.68,914700
1049.65,1053.41,1043.0,1052.39,1052.39,1305200
1050.05,1062.69,1047.05,1058.29,1058.29,1213800
1048.0,1050.88,1035.85,1047.72,1047.72,1794600
1043.87,1046.63,1041.22,1044.15,1044.15,972100
1040.8,1048.74,1039.26,1041.2,1041.2,940700
1037.72,1042.3,1029.33,1041.64,1041.64,1050600
1035.0,1039.63,1030.76,1036.41,1036.41,905300
1038.75,1051.76,1038.0,1048.47,1048.47,1188400
1049.8,1051.0,1033.73,1035.89,1035.89,1335600
1036.0,1038.7,1032.68,1034.66,1034.66,876300
1040.04,1050.39,1039.14,1050.3,1050.3,1110300
1051.16,1055.43,1047.25,1051.92,1051.92,726900
1054.39,1060.07,1051.92,1056.52,1056.52,824600
1058.57,1073.04,1054.77,1072.01,1072.01,1771500
1073.99,1080.0,1054.54,1063.29,1063.29,1821200
1056.18,1058.77,1029.65,1037.38,1037.38,2793300
